id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1615961206505996289,1615379269357649920,2023-01-19 10:35:49 +04,2023-01-19,10:35:49,+0400,828489537055715328,gregblack_et,Greg Black,,@MarkNeptune @SerenMarina Oh yeah ? Like who? The entire @GOP clown show is based on denying climate change in order to keep that fossil fuel ⛽️ campaign finance funding flowing,en,"[{'screen_name': 'gop', 'name': 'gop', 'id': '11134252'}]",[],[],0,0,0,[],[],https://twitter.com/gregblack_ET/status/1615961206505996289,False,,0,,,,,,,,"[{'screen_name': 'MarkNeptune', 'name': 'Mark T', 'id': '72655914'}, {'screen_name': 'SerenMarina', 'name': 'Marina Seren', 'id': '1217208046939705344'}]",,,,
1615961200675942400,1615845075824803840,2023-01-19 10:35:48 +04,2023-01-19,10:35:48,+0400,81865948,tarotcat,Wendy Maloney 🐳,,@btckr Welcome to climate change.,en,[],[],[],0,0,0,[],[],https://twitter.com/tarotcat/status/1615961200675942400,False,,0,,,,,,,,"[{'screen_name': 'btckr', 'name': 'Barry Tucker V', 'id': '300510416'}]",,,,
1615961181403090945,1615961181403090945,2023-01-19 10:35:43 +04,2023-01-19,10:35:43,+0400,1329492481248014336,carboncompanies,environmental footprints,,Hi fellow humans! Your number one damaging company Amazon produces 44.4 MILLION metric tons of carbon dioxide🤢! You'll never guess that  climate change is a real thing!  Think twice about the amount of pollution resulted making your products!,en,[],[],[],0,0,0,[],[],https://twitter.com/carboncompanies/status/1615961181403090945,False,,0,,,,,,,,[],,,,
1615961069104631808,1615833691003002913,2023-01-19 10:35:16 +04,2023-01-19,10:35:16,+0400,2808407775,ilclito_ride,Il Clito ride™,,"@ppdalmon …E per coerenza non puó nemmeno scoreggiare, altrimenti contribuirebbe al ‘climate change’.",it,[],[],[],0,0,1,[],[],https://twitter.com/ilClito_Ride/status/1615961069104631808,False,,0,,,,,,,,"[{'screen_name': 'ppdalmon', 'name': 'Il Velo di Maya', 'id': '1024013546'}]",,,,
1615961055359811585,1615618850711552000,2023-01-19 10:35:13 +04,2023-01-19,10:35:13,+0400,1539760469170425856,slickri06015316,🇺🇸🇺🇸SlickRick🇺🇸🇺🇸,,@ShinyCelebi15 @GretaThunberg She is as fake as climate change,en,[],[],[],0,0,0,[],[],https://twitter.com/SlickRi06015316/status/1615961055359811585,False,,0,,,,,,,,"[{'screen_name': 'ShinyCelebi15', 'name': 'Brenna', 'id': '1115353484'}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': '1006419421244678144'}]",,,,
1615961049509015552,1615939832026640384,2023-01-19 10:35:11 +04,2023-01-19,10:35:11,+0400,1435795023463792646,cozensirwin,keiths perspective,,@CBarrabran The narrative is pivoting to long covid and climate change,en,[],[],[],0,0,0,[],[],https://twitter.com/CozensIrwin/status/1615961049509015552,False,,0,,,,,,,,"[{'screen_name': 'CBarrabran', 'name': 'Coona Barabran', 'id': '1533325418736287744'}]",,,,
1615961031754514433,1609173595971780609,2023-01-19 10:35:07 +04,2023-01-19,10:35:07,+0400,20007589,davo33r,David Jenkins,,@algore You know what disinformation?Gores movie declaring climate change will cause Polar Bears to go extinct. Today Polar Bears have a larger population than ever. So much for the Climate Jerks. Glaciers are actually increasing in size. We can’t predict the weather tomorrow. In 100 yrs,en,[],[],[],0,0,0,[],[],https://twitter.com/davo33r/status/1615961031754514433,False,,0,,,,,,,,"[{'screen_name': 'algore', 'name': 'Al Gore', 'id': '17220934'}]",,,,
1615960999667843073,1615816326299406336,2023-01-19 10:35:00 +04,2023-01-19,10:35:00,+0400,947917187481825281,girmayyy,STILL WAITING 🥱,,"@pewtergod @TheRealKeean Im no fan of Elon, but the WEF discusses “problems” like overpopulation and climate change  while suggesting “solutions” which involve killing off large portions of humanity because “they arent needed anymore” 💀",en,[],[],[],0,0,0,[],[],https://twitter.com/girmayyy/status/1615960999667843073,False,,0,,,,,,,,"[{'screen_name': 'pewtergod', 'name': 'Last Train to Oblivion Leaving Now (Not a Parody)', 'id': '224245536'}, {'screen_name': 'TheRealKeean', 'name': 'Keean Bexte', 'id': '961134787'}]",,,,
1615960993124712449,1615479525386625024,2023-01-19 10:34:58 +04,2023-01-19,10:34:58,+0400,1236239234031382529,zaidah02083290,Zaidah,,@DrEliDavid Well apparently this is a normal thing for them to do under the disguise of climate change and global economics 😏,en,[],[],[],0,0,0,[],[],https://twitter.com/Zaidah02083290/status/1615960993124712449,False,,0,,,,,,,,"[{'screen_name': 'DrEliDavid', 'name': 'Dr. Eli David', 'id': '801203059359678464'}]",,,,
1615960953941622786,1615732118860054528,2023-01-19 10:34:49 +04,2023-01-19,10:34:49,+0400,282655839,newlightin,Climate Change Is Here - Act Now !!,,@AvishayBenHaim הספר הגזעני שלך צריך לזרוק לפח האשפה מרוב השקרים ועיוותים שכתובים בו. השאלה איך שיכנעת את הרצוג נשיא בובה של המושחת הראשי לקדם לך את הספר ?,iw,[],[],[],0,0,0,[],[],https://twitter.com/NewLightIn/status/1615960953941622786,False,,0,,,,,,,,"[{'screen_name': 'AvishayBenHaim', 'name': 'אבישי בן חיים', 'id': '1117811049305182211'}]",,,,
